season,team,position,depth_chart_position,jersey_number,status,full_name,first_name,last_name,birth_date,height,weight,college,gsis_id,espn_id,sportradar_id,yahoo_id,rotowire_id,pff_id,pfr_id,fantasy_data_id,sleeper_id,years_exp,headshot_url,ngs_position,week,game_type,status_description_abbr,football_name,esb_id,gsis_it_id,smart_id,entry_year,rookie_year,draft_club,draft_number
2010,ARZ,C,,62,Inactive,Ben Claxton,Ben,Claxton,1980-07-30,75,300,,00-0022018,,,,,,,,,7,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/j7khutzphvqgxzh5yxsf",,17,REG,I01,Ben,CLA712686,,,2003,2003,ARZ,64
2010,ARZ,C,,63,Active,Lyle Sendlein,Lyle,Sendlein,1984-03-16,75,308,Texas,00-0025682,,,,,,,,,3,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/nrlnrmybzxhguoqgsdr2",,17,REG,A01,Lyle,SEN108904,,,2007,2007,,
2010,ARZ,CB,,27,Active,Michael Adams,Michael,Adams,1985-06-17,68,181,,00-0025668,,,,,,,,,3,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/c6ustof4db1od2scnmv6",,17,REG,A01,Michael,ADA509576,,,2007,2007,BLT,213
2010,ARZ,CB,,20,Inactive,A.J. Jefferson,Anthony,Jefferson,1988-04-04,73,190,,00-0027350,,,,,,,,,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ug7wpvv28nfqjjrpepop",,17,REG,I01,A.J.,JEF096790,,,2010,2010,ARZ,215
2010,ARZ,CB,,23,Active,Trumaine McBride,Trumaine,McBride,1985-09-24,69,185,Mississippi,00-0025608,,,,,,,,,3,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ob8ffjs9lxw2zxpa0xqr",,17,REG,A01,Trumaine,MCB000000,,,2007,2007,ARZ,131
2010,ARZ,CB,,29,Active,Dominique Rodgers-Cromartie,Dominique,Rodgers-Cromartie,1986-04-07,74,182,Tennessee State,00-0026156,11250,c881b179-070d-4289-909f-4d3594abbd79,8793,5749,4330,RodgDo99,2556,95,2,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/sjq1mh1dhbriamgcqoim",,17,REG,A01,Dominique,ROD616216,,,2008,2008,,
2010,ARZ,CB,,28,Active,Gregory Toler,Gregory,Toler,1985-01-02,72,192,St. Paul's (VA),00-0026910,,,,,,,,,1,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/fgotlhrhw2tr54bzfyhx",,17,REG,A01,Gregory,TOL296694,,,2009,2009,,
2010,ARZ,DB,,30,Inactive,Marshay Green,Marcus,Green,1986-01-14,70,175,,00-0027353,,,,,,,,,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/xkmppoaxbs4i9xejcvai",,17,REG,I01,Marshay,GRE317404,,,2010,2010,ARZ,116
2010,ARZ,DE,,93,Active,Calais Campbell,Calais,Campbell,1986-09-01,80,300,Miami,00-0026190,11284,0333b8f0-3aab-45aa-a684-6d402a309413,8827,5587,4364,CampCa99,3341,125,2,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/iwzrhl7qp6toisge1an0",,17,REG,A01,Calais,CAM208843,,,2008,2008,ARZ,204
2010,ARZ,DT,,78,Active,Alan Branch,Alan,Branch,1984-12-29,78,338,Michigan,00-0025420,,,,,,,,,3,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/p1vgxerrhwvr1eqqvbga",,17,REG,A01,Alan,BRA489251,,,2007,2007,PHI,185
2010,ARZ,DT,,90,Active,Darnell Dockett,Darnell,Dockett,1981-05-27,76,290,,00-0022930,,,,,,,,,6,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ymkwcdhxl0vvv5b51eaz",,17,REG,A01,Darnell,DOC428041,,,2004,2004,ARZ,233
2010,ARZ,FB,,45,Active,Reagan Maui'a,Reagan,Maui'a,1984-07-06,72,260,,00-0025568,,,,,,,,,3,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/o6c5tasqhczwbwdzpvwh",,17,REG,A01,Reagan,MAU280858,,,2007,2007,ARZ,240
2010,ARZ,FS,,49,Active,Rashad Johnson,Julian,Johnson,1986-01-02,71,204,Alabama,00-0027067,,,,,,,,,1,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/uhqzxihe7l5k8vsrjwsw",,17,REG,A01,Rashad,JOH590218,,,2009,2009,PIT,73
