season,team,position,depth_chart_position,jersey_number,status,full_name,first_name,last_name,birth_date,height,weight,college,gsis_id,espn_id,sportradar_id,yahoo_id,rotowire_id,pff_id,pfr_id,fantasy_data_id,sleeper_id,years_exp,headshot_url
1946,BOS,DL,DG,0,ACT,John Badaczewski,John,Badaczewski,1922-01-27,73,235,Northern Colorado,,,,,,,,,,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/pltgpzwqbdopem5eiwez"
1946,BOS,DL,DE,0,ACT,Sam Bailey,Samuel,Bailey,1924-01-01,74,195,Northern Colorado,,,,,,,,,,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/nldmkaqmnvua18tzjn7d"
1946,BOS,DL,DG,0,ACT,Rocco Canale,Rocco,Canale,1920-08-16,71,253,Northern Colorado,,,,,,,,,,4,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/nmbfzzjo4dd3tqzzzynl"
1946,BOS,DL,DG,0,ACT,Tony Leon,Anthony,Leon,1917-02-18,69,203,Northern Colorado,,,,,,,,,,4,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/in20gurqqiczmxzbhcsp"
1946,BOS,DL,E,0,ACT,Nick Scollard,Nicholas,Scollard,1920-04-03,76,225,Northern Colorado,,,,,,,,,,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/yk53x5rhwzoi5cn94s9o"
1946,BOS,DL,DG,0,ACT,Joe Zeno,Joseph,Zeno,1919-06-14,70,238,Northern Colorado,,,,,,,,,,4,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/hggi9h0rxrz8jdz5azz6"
1946,BOS,OL,C,0,ACT,Joe Domnanovich,Joseph,Domnanovich,1919-03-18,73,215,Northern Colorado,,,,,,,,,,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wdzdm2qo5yueuxdeyvhb"
1946,BOS,OL,C,0,ACT,Gene Lee,Eugene,Lee,1922-04-21,75,226,Northern Colorado,,,,,,,,,,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ibpvgprbq78nw64udzib"
1946,BOS,OL,C,0,ACT,Jim Magee,James,Magee,1920-11-27,73,202,Northern Colorado,,,,,,,,,,3,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/afulsyxdxtub99wzcnsw"
1946,BOS,OL,OT,0,ACT,Ed McGee,Edward,McGee,1916-02-26,73,224,Northern Colorado,,,,,,,,,,4,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/vnc7ohfvyk1zyk1hdfkj"
1946,BOS,QB,QB,0,ACT,Boley Dancewicz,Francis,Dancewicz,1924-10-03,70,190,Northern Colorado,,,,,,,,,,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/hiifklpbkjgky6lise9f"
1946,BOS,QB,QB,0,ACT,Paul Governali,Paul,Governali,1921-01-05,71,195,Northern Colorado,,,,,,,,,,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/vtrxuksw29ba1g9hldz0"
1946,BOS,RB,HB,0,ACT,Duke Abbruzzi,Louis,Abbruzzi,1917-08-03,70,175,Northern Colorado,,,,,,,,,,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/poeadbwizfmgdcgajtue"
1946,BOS,RB,HB,0,ACT,Bob Davis,James,Davis,1914-05-04,73,180,Northern Colorado,,,,,,,,,,5,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/lqhemo8zsuz5ybehqmuq"
1946,BOS,RB,HB,0,ACT,Babe Dimancheff,Boris,Dimancheff,1922-09-06,71,180,Northern Colorado,,,,,,,,,,2,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jbw5vmzqcbgc73s4m4ml"
1946,BOS,RB,FB,0,ACT,Gary Famiglietti,Gary,Famiglietti,1913-11-28,72,225,Northern Colorado,,,,,,,,,,9,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/tg8hkijxncqzr0jto48b"
1946,BOS,RB,HB,0,ACT,Jim Gillette,James,Gillette,1917-12-19,73,185,Northern Colorado,,,,,,,,,,4,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/efxqvgblyamq7ddbwfcm"
1946,BOS,RB,FB,0,ACT,John Grigas,John,Grigas,1920-08-19,72,205,Northern Colorado,,,,,,,,,,4,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/vijjcjzkad8bs1qeoeo1"
1946,BOS,RB,FB,0,ACT,Joe Hoague,Joseph,Hoague,1918-02-08,74,203,Northern Colorado,,,,,,,,,,3,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qsgggym15tcrlcrfzpet"
1946,BOS,RB,HB,0,ACT,Abe Karnofsky,Abraham,Karnofsky,1922-09-22,70,175,Northern Colorado,,,,,,,,,,2,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/s0zg4qcylsjnui7s3cjj"
1946,BOS,RB,HB,0,ACT,Howie Maley,Howard,Maley,1921-12-06,71,185,Northern Colorado,,,,,,,,,,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/bafevui1k1kypjqbmp5q"
1946,BOS,RB,HB,0,ACT,Mike Micka,Michael,Micka,1921-06-18,72,185,Northern Colorado,,,,,,,,,,3,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/vfn6beyq53p7oilouohm"
1946,BOS,RB,FB,0,ACT,Rudy Romboli,Rudolph,Romboli,1923-05-21,70,215,Northern Colorado,,,,,,,,,,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qcdjqprthnzw490jsgld"
1946,BOS,RB,HB,0,ACT,Joe Sulaitis,Joseph,Sulaitis,1921-06-20,74,215,Northern Colorado,,,,,,,,,,4,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/i2wu9onajxeydbfwvr15"
1946,BOS,WR,WR,0,ACT,Hal Crisler,Harold,Crisler,1923-12-31,76,215,Northern Colorado,,,,,,,,,,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/fpepw5o3uqpzee0ntx6p"
1946,BOS,WR,WR,0,ACT,Don Currivan,Donald,Currivan,1920-03-06,72,190,Northern Colorado,,,,,,,,,,4,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ojvmkq67uk8bg8zesjsp"
1946,BOS,WR,WR,0,ACT,Don Eliason,Donald,Eliason,1918-07-24,74,215,Northern Colorado,,,,,,,,,,2,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/lgi9nhu2oxu1bk6ju3ce"
1946,BOS,WR,WR,0,ACT,Sam Goldman,Samuel,Goldman,1916-11-10,75,235,Northern Colorado,,,,,,,,,,2,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qdg9ju8qvtpvbnwffxxv"
1946,BOS,,,0,ACT,Ralph Calcagni,Ralph,Calcagni,1922-02-06,75,235,Northern Colorado,,,,,,,,,,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ru3dvqysw3lbcnjhf4tn"
1946,BOS,,,0,ACT,Tom Dean,Thomas,Dean,1923-05-27,74,247,Northern Colorado,,,,,,,,,,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/pmlosildoxcyxpigvldi"
1946,BOS,,,0,ACT,Don Deeks,Donald,Deeks,1923-02-10,76,240,Northern Colorado,,,,,,,,,,2,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/unldnkh3c4eyb8fprymf"
1946,BOS,,,0,ACT,Rube Juster,Rubin,Juster,1923-09-09,74,230,Northern Colorado,,,,,,,,,,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/guim9vpafevgjsz4nwxb"
1946,BOS,,,0,ACT,Win Pedersen,Windinge,Pedersen,1915-06-08,75,223,Northern Colorado,,,,,,,,,,3,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/xzrae1whecexgdckooyf"
1946,BOS,,,0,ACT,Steve Sierocinski,Stephen,Sierocinski,1923-06-02,75,245,Northern Colorado,,,,,,,,,,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/tyx103gzzzugxrytlmjd"
1946,BRK,DL,E,0,ACT,Neal Adams,Howard,Adams,1919-01-21,75,195,Northern Colorado,,,,,,,,,,5,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/phslwoc5adoum2h0k5cv"
1946,BRK,DL,DG,0,ACT,George Bernhardt,George,Bernhardt,1919-06-15,70,210,Northern Colorado,,,,,,,,,,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/xukkxndqedehnjsyuhab"
1946,BRK,DL,DG,0,ACT,John Billman,John,Billman,1919-12-01,73,202,Northern Colorado,,,,,,,,,,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/pp6ven0w34pb0usoy5qd"
1946,BRK,DL,DG,0,ACT,Harry Buffington,Harry,Buffington,1919-08-27,72,206,Northern Colorado,,,,,,,,,,2,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ffwtyt53crbt0mpryd3s"
1946,BRK,DL,E,0,ACT,Joe Davis,Joseph,Davis,1919-11-20,74,195,Northern Colorado,,,,,,,,,,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jjhfpgbefsn8qjjevzdq"
1946,BRK,DL,DG,0,ACT,Jack Freeman,Jack,Freeman,1922-01-20,72,198,Northern Colorado,,,,,,,,,,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/rbishjpmaneop7qonqwx"
1946,BRK,DL,E,0,ACT,Saxon Judd,Saxon,Judd,1919-11-29,73,190,Northern Colorado,,,,,,,,,,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wwsfc70hsmcs23wxnm9i"
1946,BRK,DL,DG,0,ACT,Phil Martinovich,Philip,Martinovich,1915-02-09,70,220,Northern Colorado,,,,,,,,,,3,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/dkzbgp9zg43fi06z4bfh"
1946,BRK,DL,E,0,ACT,Bob McCain,Robert,McCain,1922-08-15,71,195,Northern Colorado,,,,,,,,,,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/sdwrlxxhrzywxwcazjl6"
1946,BRK,DL,E,0,ACT,Jim McCarthy,James,McCarthy,1920-11-28,73,205,Northern Colorado,,,,,,,,,,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/paefv17fxjwclygnpcvh"
1946,BRK,DL,DG,0,ACT,Vic Obeck,Victor,Obeck,1917-03-28,72,225,Northern Colorado,,,,,,,,,,2,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/b4n3fpm3ue1gf6rgimko"
1946,BRK,DL,E,0,ACT,Bolo Perdue,Charles,Perdue,1916-05-10,70,170,Northern Colorado,,,,,,,,,,2,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/xyvwqqnhhpqwjmyzqs23"
1946,BRK,LB,LB,0,ACT,Joe Gibson,Billy,Gibson,1919-06-28,75,213,Northern Colorado,,,,,,,,,,4,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/eqixxdm4ufr2hwazduec"
1946,BRK,OL,C,0,ACT,Russ Morrow,Russell,Morrow,1924-01-07,79,200,Northern Colorado,,,,,,,,,,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/cgvneezlzcivav0s3o5k"
1946,BRK,OL,C,0,ACT,Tex Warrington,Caleb,Warrington,1921-03-21,74,210,Northern Colorado,,,,,,,,,,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/v8o8zcnwkjkhliwanbg3"
1946,BRK,QB,QB,0,ACT,Rhoten Shetley,Rhoten,Shetley,1918-02-07,71,208,Northern Colorado,,,,,,,,,,4,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/yalcgiqet8gacpbrdedt"
1946,BRK,RB,RB,0,ACT,Charlie Armstrong,Charles,Armstrong,1919-04-20,70,180,Northern Colorado,,,,,,,,,,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/msra8hz3tlmgdiq0usyk"
1946,BRK,RB,RB,0,ACT,Mickey Colmer,John,Colmer,1917-10-23,74,218,Northern Colorado,,,,,,,,,,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/oudubshtoqvebytudikw"
1946,BRK,RB,RB,0,ACT,Harry Connolly,Harry,Connolly,1920-07-16,71,190,Northern Colorado,,,,,,,,,,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/rbjojwvf7y98tgknpfjo"
