season,team,position,depth_chart_position,jersey_number,status,full_name,first_name,last_name,birth_date,height,weight,college,gsis_id,espn_id,sportradar_id,yahoo_id,rotowire_id,pff_id,pfr_id,fantasy_data_id,sleeper_id,years_exp,headshot_url,ngs_position,week,game_type,status_description_abbr,football_name,esb_id,gsis_it_id,smart_id,entry_year,rookie_year,draft_club,draft_number
2013,ARZ,C,,69,Active,Mike Gibson,Michael,Gibson,1985-11-18,76,305,,00-0026324,,,,,,,,,5,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/lw7tgr92ozhcayrpiajz",,17,REG,A01,Mike,GIB698733,,,2008,2008,ARZ,112
2013,ARZ,C,,63,Active,Lyle Sendlein,Lyle,Sendlein,1984-03-16,75,308,Texas,00-0025682,,,,,,,,,6,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/nrlnrmybzxhguoqgsdr2",,17,REG,A01,Lyle,SEN108904,,,2007,2007,ARZ,26
2013,ARZ,CB,,35,Active,Javier Arenas,Javier,Arenas,1987-10-28,69,197,Alabama,00-0027660,,,,,,,,,3,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/algezgrklvzxvyljttv8",,17,REG,A01,Javier,ARE404040,,,2010,2010,MIA,213
2013,ARZ,CB,,31,Active,Justin Bethel,Justin,Bethel,1990-06-17,72,200,Presbyterian,00-0029530,15089,f403d099-29d4-43cd-bf79-4aeeb8dc6cd3,25887,8306,7654,BethJu00,14469,1216,1,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ufj34cilucpu8ki71ukn",,17,REG,A01,Justin,BET201235,,,2012,2012,ARZ,50
2013,ARZ,CB,,20,Active,Antoine Cason,Antoine,Cason,1986-07-09,73,195,,00-0026167,,,,,,,,,5,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/pxqcmrl4htarjx1e4dcp",,17,REG,A01,Antoine,CAS362242,,,2008,2008,ARZ,64
2013,ARZ,CB,,23,Active,Bryan McCann,Bryan,McCann,1987-09-29,71,185,,00-0027421,,,,,,,,,3,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/veopdvvgde1anjtm6qlt",,17,REG,A01,Bryan,MCC135648,,,2010,2010,IND,92
2013,ARZ,CB,,21,Active,Patrick Peterson,Patrick,Peterson,1990-07-11,73,219,Louisiana State,00-0027943,13980,9f3b934e-52d6-4e16-ae92-d3e60be10493,24792,7300,6157,PetePa00,13415,972,2,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/nc3fjicv6kv0nc9ofo6r",,17,REG,A01,Patrick,PET415511,,,2011,2011,PIT,109
2013,ARZ,CB,,25,Active,Jerraud Powers,Courtney,Powers,1987-07-19,70,187,Auburn,00-0027064,,,,,,,,,4,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/unsqbhzezntvfmuq3ihg",,17,REG,A01,Jerraud,POW641973,,,2009,2009,ARZ,47
2013,ARZ,DE,,93,Active,Calais Campbell,Calais,Campbell,1986-09-01,80,300,Miami,00-0026190,11284,0333b8f0-3aab-45aa-a684-6d402a309413,8827,5587,4364,CampCa99,3341,125,5,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/iwzrhl7qp6toisge1an0",,17,REG,A01,Calais,CAM208843,,,2008,2008,ARZ,33
2013,ARZ,DE,,96,Inactive,Ronald Talley,Ronald,Talley,1986-02-21,75,286,,00-0026791,,,,,,,,,4,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/rxn9xvcd92zvjxfowin1",,17,REG,I01,Ronald,TAL662347,,,2009,2009,,
